[[43.642473, -79.387121], 1]
[[43.642488, -79.387056], 1]
[[43.642511, -79.387518], 1]
[[43.642536, -79.385178], 1]
[[43.642536, -79.38517], 1]
[[43.642536, -79.385156], 1]
[[43.642538, -79.385178], 1]
[[43.642546, -79.385171], 1]
[[43.642566, -79.385964], 1]
[[43.642597, -79.38843], 1]
[[43.642597, -79.387228], 1]
[[43.642636, -79.387086], 1]
[[43.642641, -79.387184], 1]
[[43.642655, -79.387228], 1]
[[43.642677, -79.387037], 1]
[[43.642713, -79.387067], 1]
[[43.642727, -79.378412], 1]
[[43.64275, -79.367273], 1]
[[43.642788, -79.387953], 1]
[[43.6428, -79.367159], 1]
[[43.642819, -79.36702], 1]
[[43.642886, -79.38482], 1]
[[43.642891, -79.388242], 1]
[[43.642996, -79.381793], 1]
[[43.643033, -79.384437], 1]
[[43.643069, -79.386003], 1]
[[43.643123, -79.380907], 1]
[[43.643125, -79.368134], 1]
[[43.64315, -79.379417], 1]
[[43.643161, -79.367806], 1]
[[43.643261, -79.384645], 1]
[[43.64328, -79.381478], 1]
[[43.64335, -79.377845], 1]
[[43.64335, -79.367187], 1]
[[43.643352, -79.380943], 1]
[[43.643377, -79.391412], 1]
[[43.64338, -79.387987], 1]
[[43.643396, -79.366436], 1]
[[43.643431, -79.38552], 1]
[[43.643455, -79.391389], 1]
[[43.643459, -79.378945], 1]
[[43.643494, -79.383034], 1]
[[43.64355, -79.384156], 1]
[[43.643647, -79.385026], 1]
[[43.643769, -79.380195], 1]
[[43.6438, -79.389234], 1]
[[43.6438, -79.381155], 1]
[[43.643894, -79.380548], 1]
[[43.643901, -79.381746], 1]
[[43.643947, -79.37492], 1]
[[43.643952, -79.380496], 1]
[[43.644045, -79.38874], 1]
[[43.644049, -79.375941], 1]
[[43.64405, -79.3894], 1]
[[43.64408, -79.379556], 1]
[[43.64408, -79.377045], 1]
[[43.644091, -79.377023], 1]
[[43.644157, -79.38784], 1]
[[43.644302, -79.376709], 1]
[[43.644402, -79.386978], 1]
[[43.644405, -79.386934], 1]
[[43.644408, -79.386939], 1]
[[43.644422, -79.388373], 1]
[[43.644463, -79.387309], 1]
[[43.644469, -79.379006], 1]
[[43.644483, -79.379889], 1]
[[43.6445, -79.386834], 1]
[[43.644508, -79.369514], 1]
[[43.644532, -79.369011], 1]
[[43.644536, -79.387439], 1]
[[43.644705, -79.374681], 1]
[[43.644713, -79.385414], 1]
[[43.644744, -79.37507], 1]
[[43.64475, -79.384473], 1]
[[43.644775, -79.387987], 1]
[[43.644852, -79.384381], 1]
[[43.644877, -79.394125], 1]
[[43.644936, -79.373725], 1]
[[43.644946, -79.384054], 1]
[[43.644961, -79.394359], 1]
[[43.644969, -79.384934], 1]
[[43.644986, -79.394203], 1]
[[43.644994, -79.386831], 1]
[[43.645013, -79.394631], 1]
[[43.64503, -79.385003], 1]
[[43.645041, -79.384995], 1]
[[43.645105, -79.383323], 1]
[[43.645186, -79.381684], 1]
[[43.645196, -79.384025], 1]
[[43.645197, -79.384026], 1]
[[43.645198, -79.380662], 1]
[[43.645205, -79.3816], 1]
[[43.645208, -79.382792], 1]
[[43.64523, -79.384973], 1]
[[43.645283, -79.382959], 1]
[[43.645289, -79.396055], 1]
[[43.645291, -79.395881], 1]
[[43.645313, -79.381948], 1]
[[43.645313, -79.381387], 1]
[[43.645333, -79.389334], 1]
[[43.645338, -79.381325], 1]
[[43.645344, -79.381517], 1]
[[43.645358, -79.382742], 1]
[[43.645458, -79.39657], 1]
[[43.645458, -79.372516], 1]
[[43.645477, -79.381714], 1]
[[43.645508, -79.384659], 1]
[[43.645538, -79.388809], 1]
[[43.645555, -79.395318], 1]
[[43.645555, -79.377777], 1]
[[43.645683, -79.382487], 1]
[[43.645691, -79.385864], 1]
[[43.645747, -79.38719], 1]
[[43.645769, -79.36877], 1]
[[43.645783, -79.390984], 1]
[[43.645797, -79.379064], 1]
[[43.645802, -79.3806], 1]
[[43.645816, -79.393753], 1]
[[43.645819, -79.381295], 1]
[[43.64583, -79.384787], 1]
[[43.645891, -79.376753], 1]
[[43.6459, -79.381303], 1]
[[43.645904, -79.382014], 1]
[[43.645911, -79.381325], 1]
[[43.64592, -79.375705], 1]
[[43.645961, -79.379142], 1]
[[43.64598, -79.389862], 1]
[[43.64598, -79.385462], 1]
[[43.645991, -79.385209], 1]
[[43.645994, -79.390496], 1]
[[43.645997, -79.370126], 1]
[[43.646041, -79.381889], 1]
[[43.646044, -79.381864], 1]
[[43.646088, -79.392557], 1]
[[43.646134, -79.375104], 1]
[[43.646207, -79.379096], 1]
[[43.646208, -79.381012], 1]
[[43.646208, -79.380989], 1]
[[43.646216, -79.381142], 1]
[[43.646225, -79.377992], 1]
[[43.646247, -79.390931], 1]
[[43.646247, -79.389695], 1]
